Order0	T8MN	GCR1	2.3	1300	15800	24000	89000	
Order1	Q35B	T8MN	2.2	1250	16400	24800	89000	
Order2	C55B		2.8	1400	15600	24600	9000	
Order3	C55B	GCR1	2.6	1400	16200	24400	59000	
Order4	GCR1	Q35B	2.7	1650	16800	24400	94000	
Order5	Q35B	GCR1	2.4	1600	16400	24600	44000	
Order6	T8MN		3.3	1500	15200	23000	39000	
Order7	GCR1	C55B	2.4	1650	16600	24400	94000	
Order8	SPHC	T8MN	2.4	1550	15000	24000	44000	
Order9	GCR1	T8MN	2.8	1550	15400	24200	34000	
Order10	SPHC		3.2	1650	15600	23400	59000	
Order11	SPHC	Q35B	3.4	1500	16200	23600	49000	
Order12	C55B		2.8	1350	15200	23800	4000	
Order13	Q35B	C55B	2.2	1250	15800	23000	19000	
Order14	Q35B	T8MN	2.7	1500	15800	24200	79000	
Order15	GCR1	Q35B	3.1	1650	15400	23400	34000	
Order16	SPHC	T8MN	2.9	1650	16000	23600	9000	
Order17	Q35B	T8MN	3.2	1300	16400	24800	49000	
Order18	T8MN	C55B	2.2	1350	15600	24000	49000	
Order19	GCR1	C55B	2.6	1600	15200	24800	64000	
Order20	Q35B	GCR1	2.9	1350	16800	23800	64000	
Order21	T8MN		2	1500	15200	23000	74000	
Order22	C55B		3.3	1650	15200	23200	44000	
Order23	Q35B	C55B	2.1	1300	16800	23400	34000	
Order24	T8MN	Q35B	2.3	1350	16400	24800	24000	
Order25	T8MN	GCR1	3	1350	15800	24800	79000	
Order26	SPHC		2.5	1250	15000	24800	29000	
Order27	T8MN	C55B	2.3	1200	16800	24600	9000	
Order28	SPHC		3.2	1200	16000	24200	44000	
Order29	Q35B	GCR1	3	1400	16200	24000	69000	
Order30	Q35B	GCR1	3.3	1200	16800	24800	4000	
Order31	SPHC	GCR1	3.1	1500	15800	24400	4000	
Order32	GCR1		3.2	1650	16800	24000	59000	
Order33	C55B	T8MN	3.2	1300	16600	24800	69000	
Order34	SPHC	T8MN	3.3	1300	16600	24800	24000	
