Order0	Q35B	SPHC	2.9	1650	16000	23400	54000	
Order1	C55B	SPHC	3.3	1650	16400	23200	19000	
Order2	SPHC	Q35B	2.7	1250	16400	23000	44000	
Order3	GCR1	SPHC	2.2	1250	16000	23000	64000	
Order4	GCR1	SPHC	2.1	1300	16000	23600	39000	
Order5	T8MN	SPHC	2.5	1500	15000	23200	19000	
Order6	SPHC	Q35B	2.6	1550	15000	23400	34000	
Order7	Q35B	C55B	3.3	1450	16400	24600	59000	
Order8	T8MN	Q35B	2.6	1500	16800	23400	99000	
Order9	T8MN	Q35B	2.5	1450	15400	23800	69000	
Order10	Q35B	C55B	3.2	1500	15800	24200	14000	
Order11	GCR1	T8MN	2.3	1250	16400	24200	14000	
Order12	GCR1	C55B	3.4	1400	15800	24200	84000	
Order13	T8MN	GCR1	2.3	1450	15600	24400	29000	
Order14	GCR1	T8MN	2.7	1300	15000	23200	9000	
