Order0	GCR1	C55B	2.9	1200	15200	23000	79000	
Order1	Q35B	SPHC	3.1	1250	16800	23800	79000	
Order2	SPHC	T8MN	3	1500	15400	24600	19000	
Order3	Q35B		3.2	1400	16000	24000	94000	
Order4	C55B	SPHC	2.9	1300	15400	23000	19000	
Order5	C55B	Q35B	3.3	1300	16600	24000	69000	
Order6	GCR1	Q35B	3.4	1500	15600	24000	89000	
Order7	GCR1		2.7	1600	15600	24400	4000	
Order8	GCR1	T8MN	2.1	1550	16800	24400	39000	
Order9	Q35B	T8MN	3	1200	15800	24000	19000	
Order10	T8MN	GCR1	2	1300	16600	23800	64000	
Order11	Q35B		2.1	1650	16400	24200	94000	
Order12	T8MN	SPHC	2.9	1350	16000	24000	19000	
Order13	SPHC		3.4	1450	16400	24600	89000	
Order14	GCR1	C55B	2.8	1350	16600	23600	79000	
Order15	SPHC	C55B	3.2	1500	15800	23800	84000	
Order16	C55B	T8MN	3	1600	16600	23600	54000	
Order17	SPHC	Q35B	2.9	1350	16600	24200	79000	
Order18	GCR1	C55B	2.6	1650	15200	24600	44000	
Order19	SPHC	GCR1	2.1	1600	15600	23400	29000	
Order20	SPHC	C55B	2.6	1500	16000	24400	49000	
Order21	T8MN	C55B	2.5	1650	15200	23400	34000	
Order22	T8MN	Q35B	2	1550	15600	23400	4000	
Order23	Q35B	C55B	2.8	1450	15600	23400	74000	
Order24	T8MN	SPHC	3	1650	15400	24800	74000	
Order25	Q35B	SPHC	2	1400	16600	24000	89000	
Order26	C55B	SPHC	2.3	1350	16800	23800	84000	
Order27	C55B	T8MN	3	1350	16800	24200	94000	
Order28	GCR1		2.4	1450	16600	24200	69000	
Order29	Q35B	GCR1	2.5	1350	16800	23800	94000	
Order30	Q35B		2.6	1350	16800	24600	94000	
Order31	T8MN	C55B	2.8	1500	15600	23800	94000	
Order32	C55B	T8MN	2.5	1500	15200	23200	94000	
Order33	T8MN	GCR1	3.4	1400	16800	24200	9000	
Order34	T8MN	GCR1	2.2	1300	15600	23000	79000	
Order35	C55B		2.5	1400	15200	24200	69000	
Order36	SPHC		3.2	1650	16600	23200	4000	
Order37	C55B	SPHC	2	1500	15600	24600	4000	
Order38	T8MN	SPHC	2	1200	16400	23200	39000	
Order39	T8MN	Q35B	2.9	1350	16000	23600	54000	
