Order0	Q35B	C55B	2.7	1600	16400	23600	29000	
Order1	Q35B	T8MN	3.4	1200	15200	23600	29000	
Order2	SPHC	GCR1	3.4	1300	16600	24200	99000	
Order3	Q35B	GCR1	2	1500	16800	23800	59000	
Order4	GCR1		2.5	1350	16800	24400	54000	
Order5	GCR1	T8MN	3.3	1500	15000	24800	44000	
Order6	C55B	T8MN	2.5	1300	16200	24200	4000	
Order7	C55B	SPHC	2.9	1250	16000	23600	39000	
Order8	SPHC	T8MN	2.9	1400	15400	23200	29000	
Order9	Q35B	C55B	2.1	1650	16200	23800	74000	
Order10	SPHC	GCR1	3.2	1550	16800	23400	74000	
Order11	GCR1	C55B	2.5	1600	15800	24000	99000	
Order12	T8MN	C55B	2.9	1250	15600	24800	9000	
Order13	T8MN	Q35B	2.4	1300	16400	23600	89000	
Order14	SPHC		2.1	1200	15400	24400	84000	
Order15	C55B	T8MN	2.7	1300	16200	24000	74000	
Order16	SPHC	C55B	2	1450	15600	24800	14000	
Order17	T8MN		2.6	1650	16800	23800	14000	
Order18	SPHC	C55B	3.1	1550	16200	23800	19000	
Order19	GCR1	T8MN	2.9	1600	16200	24800	54000	
Order20	GCR1		3	1450	15000	23000	24000	
Order21	C55B		2.5	1250	15800	24600	24000	
Order22	SPHC	C55B	2.4	1300	15600	23000	9000	
Order23	T8MN	SPHC	3.2	1600	16800	24400	94000	
Order24	Q35B	GCR1	3.1	1300	15600	23400	14000	
Order25	SPHC	GCR1	2.4	1400	16800	24600	99000	
Order26	Q35B	T8MN	2.1	1300	15000	24400	24000	
Order27	GCR1	T8MN	2.4	1550	15400	24400	59000	
Order28	Q35B	GCR1	2.4	1400	16000	23200	44000	
Order29	T8MN	GCR1	2.9	1650	15600	24600	59000	
Order30	SPHC	T8MN	3.2	1300	16000	24200	94000	
Order31	T8MN	Q35B	2.2	1600	16400	23400	79000	
Order32	T8MN	SPHC	3.1	1600	16600	23600	14000	
Order33	Q35B		3.3	1300	15800	24800	99000	
Order34	Q35B		2.2	1650	16400	23200	99000	
Order35	T8MN	C55B	2.4	1650	16200	23600	24000	
Order36	SPHC	C55B	2.4	1200	15600	23200	29000	
Order37	T8MN	C55B	3	1300	15400	24000	59000	
Order38	GCR1	C55B	3.2	1200	15000	23800	54000	
Order39	Q35B	GCR1	3	1250	15600	23400	34000	
