Order0	T8MN	GCR1	3.1	1400	16400	23600	89000	
Order1	C55B	T8MN	2.3	1350	16400	23800	49000	
Order2	Q35B	T8MN	2.4	1550	16000	23400	29000	
Order3	Q35B	SPHC	2.6	1300	16600	23600	34000	
Order4	GCR1	Q35B	2.6	1650	15800	23200	74000	
Order5	SPHC	GCR1	2.1	1250	15400	23400	4000	
Order6	T8MN	C55B	3.3	1400	16400	24800	94000	
Order7	T8MN	C55B	2.1	1500	16600	24000	99000	
Order8	Q35B	T8MN	3.4	1400	15400	24400	54000	
Order9	C55B	T8MN	3.4	1650	16400	24800	59000	
Order10	Q35B	GCR1	2.1	1600	15600	23400	69000	
Order11	C55B	SPHC	2	1600	16800	23600	19000	
Order12	C55B	Q35B	2.4	1200	16000	23200	4000	
Order13	C55B		2.9	1650	16400	23000	4000	
Order14	Q35B	SPHC	2.2	1350	15400	24000	24000	
Order15	GCR1	C55B	2.3	1350	16400	24000	99000	
Order16	GCR1	SPHC	2	1400	15200	23600	39000	
Order17	C55B		2.9	1500	15000	24000	99000	
Order18	C55B	Q35B	3.2	1350	16800	24800	64000	
Order19	GCR1	T8MN	3	1450	16800	24800	94000	
Order20	Q35B	GCR1	2.4	1650	15800	24600	84000	
Order21	Q35B	GCR1	2.7	1650	16800	23600	84000	
Order22	SPHC	T8MN	3.1	1200	16800	23600	69000	
Order23	Q35B	T8MN	2.1	1550	16000	23000	9000	
Order24	Q35B	GCR1	2.7	1250	16600	24800	24000	
Order25	T8MN	SPHC	2.3	1300	15600	24400	24000	
Order26	GCR1	T8MN	2.1	1400	16400	23400	74000	
Order27	C55B	SPHC	2.3	1200	15000	24000	34000	
Order28	SPHC		2.3	1650	15600	23800	4000	
Order29	Q35B		3.1	1250	15400	24000	99000	
