Order0	T8MN		2.2	1250	16000	24400	94000	
Order1	SPHC	C55B	3	1200	16600	23200	44000	
Order2	T8MN	Q35B	3.3	1600	16600	23400	44000	
Order3	SPHC	Q35B	2.7	1500	16800	24800	94000	
Order4	C55B	SPHC	3	1250	16800	23400	14000	
Order5	T8MN	SPHC	2.3	1250	16000	24000	74000	
Order6	C55B	T8MN	2.1	1250	16200	24200	54000	
Order7	C55B	SPHC	3.3	1550	16400	23600	64000	
Order8	SPHC	C55B	3.3	1550	15600	24800	24000	
Order9	GCR1	T8MN	3.2	1550	15000	23400	59000	
Order10	Q35B	GCR1	3.4	1600	16400	23600	84000	
Order11	T8MN	Q35B	2.5	1300	15200	24000	74000	
Order12	Q35B		2.1	1550	16400	23200	79000	
Order13	GCR1	SPHC	2.8	1500	15800	24800	89000	
Order14	Q35B	T8MN	3.3	1350	15400	23800	89000	
Order15	GCR1	C55B	2.3	1450	16000	23600	59000	
Order16	C55B	GCR1	2.8	1450	16800	24600	29000	
Order17	Q35B	C55B	3.1	1300	16600	24800	64000	
Order18	Q35B	GCR1	2.4	1600	15400	23000	79000	
Order19	GCR1		3.4	1600	16200	24000	9000	
Order20	T8MN		2.2	1650	15000	24600	79000	
Order21	C55B	T8MN	2.1	1650	16600	24400	4000	
Order22	C55B		2.8	1400	16600	23000	19000	
Order23	T8MN	SPHC	3.3	1250	16400	24800	99000	
Order24	Q35B	C55B	2.7	1200	15400	24200	59000	
Order25	T8MN	SPHC	3.1	1500	15600	23200	29000	
Order26	GCR1	C55B	3.4	1450	16400	24000	44000	
Order27	Q35B	C55B	2.6	1450	16000	24000	54000	
Order28	SPHC	Q35B	2.4	1250	15800	24000	84000	
Order29	SPHC		2.4	1500	16400	23600	59000	
